x, D_0
25, 0.00
55, -0.08
85, -0.15
115, -0.22
145, -0.29
175, -0.33
205, -0.38
235, -0.41
275, -0.44
305, -0.40
335, -0.44
365, -0.43
395, -0.43
425, -0.43
